Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  1 | newX= 1090.7780 | newY=  304.7957
particle=  2 | newX= 1053.5170 | newY=  326.8468
particle=  3 | newX= 1011.6339 | newY=  335.2184
particle=  4 | newX=  969.4149 | newY=  329.1250
particle=  5 | newX=  931.0903 | newY=  308.9202
particle=  6 | newX=  900.5721 | newY=  275.8578
particle=  7 | newX=  881.4899 | newY=  231.7681
particle=  8 | newX=  878.1055 | newY=  178.9850
particle=  9 | newX=  896.9111 | newY=  122.0782
particle= 10 | newX=  945.4327 | newY=   74.0234
particle= 11 | newX= 1016.7609 | newY=   58.7595
particle= 12 | newX= 1081.0154 | newY=   83.3179
particle= 13 | newX= 1120.8064 | newY=  128.6356
particle= 14 | newX= 1137.6566 | newY=  179.2226
particle= 15 | newX= 1136.0665 | newY=  227.9971
STEP   7 | DAY  160
particle=  0 | newX= 1124.8985 | newY=  284.1453
particle=  1 | newX= 1094.9075 | newY=  318.7097
particle=  2 | newX= 1056.3887 | newY=  341.2071
particle=  3 | newX= 1013.2887 | newY=  349.8365
particle=  4 | newX=  969.8387 | newY=  343.8315
particle=  5 | newX=  930.1945 | newY=  323.5102
particle=  6 | newX=  898.1678 | newY=  290.0064
particle=  7 | newX=  877.2812 | newY=  244.8582
particle=  8 | newX=  871.8487 | newY=  189.7684
particle=  9 | newX=  889.3160 | newY=  128.2575
particle= 10 | newX=  940.5964 | newY=   73.6442
particle= 11 | newX= 1020.2037 | newY=   56.3826
particle= 12 | newX= 1089.9242 | newY=   85.6835
particle= 13 | newX= 1130.3395 | newY=  135.8555
particle= 14 | newX= 1146.0458 | newY=  189.4998
particle= 15 | newX= 1142.9767 | newY=  240.0918
STEP   8 | DAY  180
particle=  0 | newX= 1129.9237 | newY=  297.1693
particle=  1 | newX= 1098.7258 | newY=  332.3251
particle=  2 | newX= 1059.0897 | newY=  355.2040
particle=  3 | newX= 1014.9183 | newY=  364.0657
particle=  4 | newX=  970.3899 | newY=  358.1613
particle=  5 | newX=  929.5900 | newY=  337.7817
particle=  6 | newX=  896.2298 | newY=  303.9615
particle=  7 | newX=  873.7011 | newY=  257.9863
particle=  8 | newX=  866.2681 | newY=  200.9628
particle=  9 | newX=  882.0905 | newY=  135.2189
particle= 10 | newX=  935.6576 | newY=   73.8040
particle= 11 | newX= 1023.9021 | newY=   54.4101
particle= 12 | newX= 1098.8168 | newY=   88.8731
particle= 13 | newX= 1139.3997 | newY=  143.7003
particle= 14 | newX= 1153.8316 | newY=  200.0471
particle= 15 | newX= 1149.3305 | newY=  252.1831
STEP   9 | DAY  200
particle=  0 | newX= 1134.5768 | newY=  310.0270
particle=  1 | newX= 1102.2847 | newY=  345.6854
particle=  2 | newX= 1061.6468 | newY=  368.8954
particle=  3 | newX= 1016.5218 | newY=  377.9691
particle=  4 | newX=  971.0388 | newY=  372.1734
particle=  5 | newX=  929.2181 | newY=  351.7783
particle=  6 | newX=  894.6738 | newY=  317.7374
particle=  7 | newX=  870.6548 | newY=  271.1198
particle=  8 | newX=  861.2993 | newY=  212.4837
particle=  9 | newX=  875.2444 | newY=  142.8862
particle= 10 | newX=  930.6054 | newY=   74.4761
particle= 11 | newX= 1027.8602 | newY=   52.8066
particle= 12 | newX= 1107.6559 | newY=   92.8258
particle= 13 | newX= 1148.0083 | newY=  152.0704
particle= 14 | newX= 1161.0857 | newY=  210.7991
particle= 15 | newX= 1155.2108 | newY=  264.2526
STEP  10 | DAY  220
particle=  0 | newX= 1138.9135 | newY=  322.7345
particle=  1 | newX= 1105.6237 | newY=  358.8247
particle=  2 | newX= 1064.0802 | newY=  382.3257
particle=  3 | newX= 1018.0990 | newY=  391.5948
particle=  4 | newX=  971.7636 | newY=  385.9131
particle=  5 | newX=  929.0345 | newY=  365.5348
particle=  6 | newX=  893.4341 | newY=  331.3470
particle=  7 | newX=  868.0647 | newY=  284.2351
particle=  8 | newX=  856.8846 | newY=  224.2622
particle=  9 | newX=  868.7874 | newY=  151.1893
particle= 10 | newX=  925.4347 | newY=   75.6457
particle= 11 | newX= 1032.0819 | newY=   51.5497
particle= 12 | newX= 1116.4050 | newY=   97.4860
particle= 13 | newX= 1156.1865 | newY=  160.8823
particle= 14 | newX= 1167.8679 | newY=  221.7058
particle= 15 | newX= 1160.6834 | newY=  276.2883
STEP  11 | DAY  240
particle=  0 | newX= 1142.9777 | newY=  335.3051
particle=  1 | newX= 1108.7732 | newY=  371.7701
particle=  2 | newX= 1066.4057 | newY=  395.5298
particle=  3 | newX= 1019.6499 | newY=  404.9804
particle=  4 | newX=  972.5476 | newY=  399.4162
particle=  5 | newX=  929.0046 | newY=  379.0791
particle=  6 | newX=  892.4586 | newY=  344.8025
particle=  7 | newX=  865.8665 | newY=  297.3158
particle=  8 | newX=  852.9711 | newY=  236.2419
particle=  9 | newX=  862.7267 | newY=  160.0624
particle= 10 | newX=  920.1460 | newY=   77.3060
particle= 11 | newX= 1036.5705 | newY=   50.6269
particle= 12 | newX= 1125.0298 | newY=  102.8011
particle= 13 | newX= 1163.9563 | newY=  170.0654
particle= 14 | newX= 1174.2290 | newY=  232.7286
particle= 15 | newX= 1165.8009 | newY=  288.2821
STEP  12 | DAY  260
particle=  0 | newX= 1146.8045 | newY=  347.7505
particle=  1 | newX= 1111.7576 | newY=  384.5437
particle=  2 | newX= 1068.6357 | newY=  408.5356
particle=  3 | newX= 1021.1747 | newY=  418.1561
particle=  4 | newX=  973.3777 | newY=  412.7115
particle=  5 | newX=  929.1016 | newY=  392.4345
particle=  6 | newX=  891.7055 | newY=  358.1144
particle=  7 | newX=  864.0064 | newY=  310.3499
particle=  8 | newX=  849.5106 | newY=  248.3763
particle=  9 | newX=  857.0660 | newY=  169.4435
particle= 10 | newX=  914.7444 | newY=   79.4561
particle= 11 | newX= 1041.3282 | newY=   50.0331
particle= 12 | newX= 1133.4996 | newY=  108.7199
particle= 13 | newX= 1171.3396 | newY=  179.5600
particle= 14 | newX= 1180.2124 | newY=  243.8372
particle= 15 | newX= 1170.6068 | newY=  300.2291
STEP  13 | DAY  280
particle=  0 | newX= 1150.4224 | newY=  360.0810
particle=  1 | newX= 1114.5965 | newY=  397.1639
particle=  2 | newX= 1070.7806 | newY=  421.3659
particle=  3 | newX= 1022.6736 | newY=  431.1463
particle=  4 | newX=  974.2438 | newY=  425.8223
particle=  5 | newX=  929.3036 | newY=  405.6200
particle=  6 | newX=  891.1406 | newY=  371.2928
particle=  7 | newX=  862.4390 | newY=  323.3296
particle=  8 | newX=  846.4585 | newY=  260.6273
particle=  9 | newX=  851.8047 | newY=  179.2745
particle= 10 | newX=  909.2396 | newY=   82.0986
particle= 11 | newX= 1046.3556 | newY=   49.7690
particle= 12 | newX= 1141.7879 | newY=  115.1925
particle= 13 | newX= 1178.3587 | newY=  189.3156
particle= 14 | newX= 1185.8558 | newY=  255.0080
particle= 15 | newX= 1175.1368 | newY=  312.1261
STEP  14 | DAY  300
particle=  0 | newX= 1153.8551 | newY=  372.3055
particle=  1 | newX= 1117.3062 | newY=  409.6459
particle=  2 | newX= 1072.8486 | newY=  434.0396
particle=  3 | newX= 1024.1470 | newY=  443.9714
particle=  4 | newX=  975.1377 | newY=  438.7683
particle=  5 | newX=  929.5931 | newY=  418.6519
particle=  6 | newX=  890.7358 | newY=  384.3466
particle=  7 | newX=  861.1256 | newY=  336.2492
particle=  8 | newX=  843.7742 | newY=  272.9637
particle=  9 | newX=  846.9381 | newY=  189.5007
particle= 10 | newX=  903.6455 | newY=   85.2384
particle= 11 | newX= 1051.6514 | newY=   49.8400
particle= 12 | newX= 1149.8730 | newY=  122.1705
particle= 13 | newX= 1185.0352 | newY=  199.2893
particle= 14 | newX= 1191.1917 | newY=  266.2222
particle= 15 | newX= 1179.4211 | newY=  323.9714
STEP  15 | DAY  320
particle=  0 | newX= 1157.1224 | newY=  384.4319
particle=  1 | newX= 1119.9000 | newY=  422.0026
particle=  2 | newX= 1074.8468 | newY=  446.5724
particle=  3 | newX= 1025.5952 | newY=  456.6481
particle=  4 | newX=  976.0528 | newY=  451.5658
particle=  5 | newX=  929.9557 | newY=  431.5441
particle=  6 | newX=  890.4678 | newY=  397.2839
particle=  7 | newX=  860.0333 | newY=  349.1052
particle=  8 | newX=  841.4203 | newY=  285.3599
particle=  9 | newX=  842.4573 | newY=  200.0715
particle= 10 | newX=  897.9802 | newY=   88.8812
particle= 11 | newX= 1057.2119 | newY=   50.2551
particle= 12 | newX= 1157.7376 | newY=  129.6069
particle= 13 | newX= 1191.3903 | newY=  209.4448
particle= 14 | newX= 1196.2488 | newY=  277.4651
particle= 15 | newX= 1183.4850 | newY=  335.7646
STEP  16 | DAY  340
particle=  0 | newX= 1160.2408 | newY=  396.4672
particle=  1 | newX= 1122.3892 | newY=  434.2453
particle=  2 | newX= 1076.7809 | newY=  458.9777
particle=  3 | newX= 1027.0188 | newY=  469.1907
particle=  4 | newX=  976.9837 | newY=  464.2287
particle=  5 | newX=  930.3796 | newY=  444.3084
particle=  6 | newX=  890.3168 | newY=  410.1120
particle=  7 | newX=  859.1337 | newY=  361.8957
particle=  8 | newX=  839.3630 | newY=  297.7951
particle=  9 | newX=  838.3502 | newY=  210.9404
particle= 10 | newX=  892.2651 | newY=   93.0325
particle= 11 | newX= 1063.0305 | newY=   51.0260
particle= 12 | newX= 1165.3693 | newY=  137.4570
particle= 13 | newX= 1197.4446 | newY=  219.7511
particle= 14 | newX= 1201.0521 | newY=  288.7249
particle= 15 | newX= 1187.3504 | newY=  347.5056
STEP  17 | DAY  360
particle=  0 | newX= 1163.2247 | newY=  408.4177
particle=  1 | newX= 1124.7834 | newY=  446.3836
particle=  2 | newX= 1078.6562 | newY=  471.2671
particle=  3 | newX= 1028.4181 | newY=  481.6115
particle=  4 | newX=  977.9260 | newY=  476.7689
particle=  5 | newX=  930.8547 | newY=  456.9552
particle=  6 | newX=  890.2665 | newY=  422.8376
particle=  7 | newX=  858.4024 | newY=  374.6196
particle=  8 | newX=  837.5715 | newY=  310.2522
particle=  9 | newX=  834.6018 | newY=  222.0650
particle= 10 | newX=  886.5252 | newY=   97.6962
