Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  3 | newX=  287.8427 | newY=  284.0964
particle=  4 | newX=  245.9310 | newY=  275.7339
particle=  5 | newX=  208.7061 | newY=  253.6270
particle=  6 | newX=  180.1501 | newY=  219.6641
particle=  7 | newX=  163.6768 | newY=  176.5884
particle=  8 | newX=  162.3479 | newY=  127.6765
particle=  9 | newX=  179.5751 | newY=   77.0430
particle= 10 | newX=  219.7299 | newY=   31.9518
particle= 11 | newX=  283.8001 | newY=    7.8226
particle= 12 | newX=  354.3550 | newY=   22.7353
particle= 13 | newX=  402.7596 | newY=   69.8191
particle= 14 | newX=  421.9133 | newY=  126.3759
particle= 15 | newX=  418.6604 | newY=  179.4430
STEP   7 | DAY  160
particle=  0 | newX=  401.8040 | newY=  237.9160
particle=  1 | newX=  369.4982 | newY=  271.8715
particle=  2 | newX=  329.6395 | newY=  292.4586
particle=  3 | newX=  286.0758 | newY=  298.5776
particle=  4 | newX=  242.9508 | newY=  289.9570
particle=  5 | newX=  204.4765 | newY=  267.3959
particle=  6 | newX=  174.5919 | newY=  232.7128
particle=  7 | newX=  156.6946 | newY=  188.4982
particle=  8 | newX=  153.9164 | newY=  137.7315
particle=  9 | newX=  170.0642 | newY=   83.9968
particle= 10 | newX=  210.9620 | newY=   34.0589
particle= 11 | newX=  280.5072 | newY=    5.3344
particle= 12 | newX=  359.0989 | newY=   22.1432
particle= 13 | newX=  410.3026 | newY=   75.5178
particle= 14 | newX=  428.2135 | newY=  136.6914
particle= 15 | newX=  422.8923 | newY=  192.1906
STEP   8 | DAY  180
particle=  0 | newX=  403.6894 | newY=  251.6444
particle=  1 | newX=  370.0068 | newY=  285.9736
particle=  2 | newX=  328.9737 | newY=  306.6460
particle=  3 | newX=  284.3288 | newY=  312.6739
particle=  4 | newX=  240.1379 | newY=  303.8206
particle=  5 | newX=  200.5556 | newY=  280.8708
particle=  6 | newX=  169.4755 | newY=  245.5820
particle=  7 | newX=  150.2643 | newY=  200.4112
particle=  8 | newX=  146.0795 | newY=  148.0633
particle=  9 | newX=  161.0107 | newY=   91.5756
particle= 10 | newX=  202.2024 | newY=   36.9711
particle= 11 | newX=  276.9775 | newY=    3.2461
particle= 12 | newX=  363.9306 | newY=   22.0704
particle= 13 | newX=  417.4921 | newY=   81.9625
