Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
STEP  10 | DAY  220
particle=  0 | newX= 1170.2357 | newY=  879.8314
particle=  1 | newX= 1175.1604 | newY=  879.9067
particle=  2 | newX= 1180.0860 | newY=  879.9826
particle=  3 | newX= 1185.0125 | newY=  880.0590
particle=  4 | newX= 1189.9398 | newY=  880.1360
particle=  5 | newX=  802.4075 | newY=  876.5121
particle=  6 | newX= 1199.7972 | newY=  880.2916
particle=  7 | newX= 1204.7272 | newY=  880.3702
particle=  8 | newX= 1209.6582 | newY=  880.4493
particle=  9 | newX= 1214.5900 | newY=  880.5288
STEP  11 | DAY  240
particle=  0 | newX= 1169.2658 | newY=  869.2622
particle=  1 | newX= 1174.1830 | newY=  869.3454
particle=  2 | newX= 1179.1012 | newY=  869.4291
particle=  3 | newX= 1184.0203 | newY=  869.5136
particle=  4 | newX= 1188.9404 | newY=  869.5986
particle=  5 | newX=  802.1613 | newY=  865.6141
particle=  6 | newX= 1198.7836 | newY=  869.7704
particle=  7 | newX= 1203.7066 | newY=  869.8572
particle=  8 | newX= 1208.6307 | newY=  869.9445
particle=  9 | newX= 1213.5558 | newY=  870.0324
STEP  12 | DAY  260
particle=  0 | newX= 1168.2807 | newY=  858.6748
particle=  1 | newX= 1173.1902 | newY=  858.7660
particle=  2 | newX= 1178.1008 | newY=  858.8579
particle=  3 | newX= 1183.0125 | newY=  858.9505
particle=  4 | newX= 1187.9252 | newY=  859.0437
particle=  5 | newX=  801.9136 | newY=  854.6934
particle=  6 | newX= 1197.7539 | newY=  859.2322
particle=  7 | newX= 1202.6700 | newY=  859.3274
particle=  8 | newX= 1207.5871 | newY=  859.4232
particle=  9 | newX= 1212.5054 | newY=  859.5196
STEP  13 | DAY  280
particle=  0 | newX= 1167.2801 | newY=  848.0687
particle=  1 | newX= 1172.1818 | newY=  848.1681
particle=  2 | newX= 1177.0846 | newY=  848.2683
particle=  3 | newX= 1181.9887 | newY=  848.3693
particle=  4 | newX= 1186.8939 | newY=  848.4710
particle=  5 | newX=  801.6648 | newY=  843.7496
particle=  6 | newX= 1196.7080 | newY=  848.6766
particle=  7 | newX= 1201.6168 | newY=  848.7804
particle=  8 | newX= 1206.5269 | newY=  848.8848
particle=  9 | newX= 1211.4382 | newY=  848.9899
STEP  14 | DAY  300
particle=  0 | newX= 1166.2634 | newY=  837.4434
particle=  1 | newX= 1171.1571 | newY=  837.5512
particle=  2 | newX= 1176.0522 | newY=  837.6600
particle=  3 | newX= 1180.9485 | newY=  837.7696
particle=  4 | newX= 1185.8461 | newY=  837.8799
particle=  5 | newX=  801.4148 | newY=  832.7823
particle=  6 | newX= 1195.6452 | newY=  838.1030
