Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
STEP  10 | DAY  220
particle=  0 | newX=   87.8534 | newY= 1083.3702
particle=  1 | newX=   92.8053 | newY= 1083.3195
particle=  2 | newX=   97.7567 | newY= 1083.2690
particle=  3 | newX=  102.7077 | newY= 1083.2188
particle=  4 | newX=  107.6583 | newY= 1083.1689
particle=  5 | newX=  112.6084 | newY= 1083.1191
particle=  6 | newX=  117.5581 | newY= 1083.0697
particle=  7 | newX=  122.5073 | newY= 1083.0205
particle=  8 | newX=  127.4561 | newY= 1082.9716
particle=  9 | newX=  132.4045 | newY= 1082.9230
STEP  11 | DAY  240
particle=  0 | newX=   88.6219 | newY= 1073.1629
particle=  1 | newX=   93.5692 | newY= 1073.1071
particle=  2 | newX=   98.5159 | newY= 1073.0515
particle=  3 | newX=  103.4622 | newY= 1072.9963
particle=  4 | newX=  108.4080 | newY= 1072.9412
particle=  5 | newX=  113.3533 | newY= 1072.8865
particle=  6 | newX=  118.2981 | newY= 1072.8321
particle=  7 | newX=  123.2424 | newY= 1072.7780
particle=  8 | newX=  128.1862 | newY= 1072.7241
particle=  9 | newX=  133.1296 | newY= 1072.6706
STEP  12 | DAY  260
particle=  0 | newX=   89.4003 | newY= 1062.9452
particle=  1 | newX=   94.3428 | newY= 1062.8841
particle=  2 | newX=   99.2849 | newY= 1062.8234
particle=  3 | newX=  104.2263 | newY= 1062.7629
particle=  4 | newX=  109.1673 | newY= 1062.7028
particle=  5 | newX=  114.1077 | newY= 1062.6430
particle=  6 | newX=  119.0476 | newY= 1062.5835
particle=  7 | newX=  123.9870 | newY= 1062.5243
particle=  8 | newX=  128.9258 | newY= 1062.4654
particle=  9 | newX=  133.8641 | newY= 1062.4069
STEP  13 | DAY  280
particle=  0 | newX=   90.1886 | newY= 1052.7167
particle=  1 | newX=   95.1265 | newY= 1052.6504
particle=  2 | newX=  100.0637 | newY= 1052.5844
particle=  3 | newX=  105.0004 | newY= 1052.5187
particle=  4 | newX=  109.9364 | newY= 1052.4533
particle=  5 | newX=  114.8719 | newY= 1052.3883
particle=  6 | newX=  119.8068 | newY= 1052.3236
particle=  7 | newX=  124.7412 | newY= 1052.2593
particle=  8 | newX=  129.6750 | newY= 1052.1954
particle=  9 | newX=  134.6082 | newY= 1052.1318
STEP  14 | DAY  300
particle=  0 | newX=   90.9872 | newY= 1042.4775
particle=  1 | newX=   95.9203 | newY= 1042.4058
particle=  2 | newX=  100.8527 | newY= 1042.3344
particle=  3 | newX=  105.7844 | newY= 1042.2634
particle=  4 | newX=  110.7156 | newY= 1042.1927
