Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  3 | newX=  303.0463 | newY=  602.5668
particle=  4 | newX=  307.9263 | newY=  602.5131
particle=  5 | newX=  312.8061 | newY=  602.4613
particle=  6 | newX=  317.6858 | newY=  602.4114
particle=  7 | newX=  322.5654 | newY=  602.3633
particle=  8 | newX=  327.4450 | newY=  602.3171
particle=  9 | newX=  332.3247 | newY=  602.2727
STEP  11 | DAY  180
particle=  0 | newX=  289.2141 | newY=  594.2291
particle=  1 | newX=  294.0823 | newY=  594.1642
particle=  2 | newX=  298.9501 | newY=  594.1014
particle=  3 | newX=  303.8177 | newY=  594.0408
particle=  4 | newX=  308.6850 | newY=  593.9823
particle=  5 | newX=  313.5521 | newY=  593.9259
particle=  6 | newX=  318.4191 | newY=  593.8716
particle=  7 | newX=  323.2861 | newY=  593.8194
particle=  8 | newX=  328.1531 | newY=  593.7693
particle=  9 | newX=  333.0202 | newY=  593.7212
STEP  12 | DAY  195
particle=  0 | newX=  290.0308 | newY=  585.6957
particle=  1 | newX=  294.8860 | newY=  585.6253
particle=  2 | newX=  299.7408 | newY=  585.5572
particle=  3 | newX=  304.5953 | newY=  585.4915
particle=  4 | newX=  309.4496 | newY=  585.4282
particle=  5 | newX=  314.3037 | newY=  585.3672
particle=  6 | newX=  319.1576 | newY=  585.3086
particle=  7 | newX=  324.0116 | newY=  585.2523
particle=  8 | newX=  328.8656 | newY=  585.1984
particle=  9 | newX=  333.7197 | newY=  585.1467
STEP  13 | DAY  210
particle=  0 | newX=  290.8549 | newY=  577.1382
particle=  1 | newX=  295.6967 | newY=  577.0622
particle=  2 | newX=  300.5381 | newY=  576.9888
particle=  3 | newX=  305.3792 | newY=  576.9181
particle=  4 | newX=  310.2200 | newY=  576.8500
particle=  5 | newX=  315.0607 | newY=  576.7846
particle=  6 | newX=  319.9012 | newY=  576.7217
