Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  0 | newX=  778.1014 | newY=  978.3980
particle=  1 | newX=  783.0127 | newY=  978.4079
particle=  2 | newX=  787.9241 | newY=  978.4185
particle=  3 | newX=  792.8354 | newY=  978.4296
particle=  4 | newX=  797.7467 | newY=  978.4414
particle=  5 | newX=  802.6580 | newY=  978.4539
particle=  6 | newX=  807.5693 | newY=  978.4670
particle=  7 | newX=  812.4807 | newY=  978.4807
particle=  8 | newX=  817.3921 | newY=  978.4950
particle=  9 | newX=  822.3035 | newY=  978.5100
STEP  11 | DAY  240
particle=  0 | newX=  777.9196 | newY=  967.6906
particle=  1 | newX=  782.8222 | newY=  967.7014
particle=  2 | newX=  787.7248 | newY=  967.7129
particle=  3 | newX=  792.6274 | newY=  967.7250
particle=  4 | newX=  797.5300 | newY=  967.7379
particle=  5 | newX=  802.4325 | newY=  967.7514
particle=  6 | newX=  807.3351 | newY=  967.7657
particle=  7 | newX=  812.2377 | newY=  967.7806
particle=  8 | newX=  817.1404 | newY=  967.7962
particle=  9 | newX=  822.0430 | newY=  967.8126
STEP  12 | DAY  260
particle=  0 | newX=  777.7363 | newY=  956.9640
particle=  1 | newX=  782.6301 | newY=  956.9757
particle=  2 | newX=  787.5239 | newY=  956.9881
particle=  3 | newX=  792.4176 | newY=  957.0012
particle=  4 | newX=  797.3113 | newY=  957.0151
particle=  5 | newX=  802.2051 | newY=  957.0297
particle=  6 | newX=  807.0988 | newY=  957.0451
particle=  7 | newX=  811.9925 | newY=  957.0613
particle=  8 | newX=  816.8863 | newY=  957.0782
particle=  9 | newX=  821.7801 | newY=  957.0959
STEP  13 | DAY  280
particle=  0 | newX=  777.5517 | newY=  946.2180
particle=  1 | newX=  782.4365 | newY=  946.2305
particle=  2 | newX=  787.3213 | newY=  946.2437
particle=  3 | newX=  792.2061 | newY=  946.2578
particle=  4 | newX=  797.0909 | newY=  946.2727
particle=  5 | newX=  801.9756 | newY=  946.2884
particle=  6 | newX=  806.8604 | newY=  946.3049
particle=  7 | newX=  811.7451 | newY=  946.3223
particle=  8 | newX=  816.6299 | newY=  946.3405
particle=  9 | newX=  821.5147 | newY=  946.3596
STEP  14 | DAY  300
particle=  0 | newX=  777.3657 | newY=  935.4521
particle=  1 | newX=  782.2415 | newY=  935.4654
particle=  2 | newX=  787.1172 | newY=  935.4795
particle=  3 | newX=  791.9929 | newY=  935.4945
particle=  4 | newX=  796.8686 | newY=  935.5104
particle=  5 | newX=  801.7442 | newY=  935.5272
particle=  6 | newX=  806.6199 | newY=  935.5449
particle=  7 | newX=  811.4955 | newY=  935.5634
particle=  8 | newX=  816.3712 | newY=  935.5829
particle=  9 | newX=  821.2468 | newY=  935.6033
STEP  15 | DAY  320
particle=  0 | newX=  777.1784 | newY=  924.6661
particle=  1 | newX=  782.0450 | newY=  924.6802
particle=  2 | newX=  786.9116 | newY=  924.6951
particle=  3 | newX=  791.7781 | newY=  924.7111
particle=  4 | newX=  796.6445 | newY=  924.7279
particle=  5 | newX=  801.5110 | newY=  924.7457
particle=  6 | newX=  806.3774 | newY=  924.7645
particle=  7 | newX=  811.2438 | newY=  924.7842
particle=  8 | newX=  816.1102 | newY=  924.8049
particle=  9 | newX=  820.9766 | newY=  924.8266
STEP  16 | DAY  340
particle=  0 | newX=  776.9900 | newY=  913.8596
particle=  1 | newX=  781.8473 | newY=  913.8744
particle=  2 | newX=  786.7045 | newY=  913.8902
particle=  3 | newX=  791.5617 | newY=  913.9070
particle=  4 | newX=  796.4188 | newY=  913.9248
particle=  5 | newX=  801.2759 | newY=  913.9436
particle=  6 | newX=  806.1329 | newY=  913.9635
particle=  7 | newX=  810.9900 | newY=  913.9844
particle=  8 | newX=  815.8470 | newY=  914.0063
particle=  9 | newX=  820.7040 | newY=  914.0292
STEP  17 | DAY  360
particle=  0 | newX=  776.8004 | newY=  903.0323
particle=  1 | newX=  781.6483 | newY=  903.0478
particle=  2 | newX=  786.4961 | newY=  903.0644
particle=  3 | newX=  791.3438 | newY=  903.0820
particle=  4 | newX=  796.1914 | newY=  903.1007
particle=  5 | newX=  801.0390 | newY=  903.1205
particle=  6 | newX=  805.8866 | newY=  903.1414
particle=  7 | newX=  810.7341 | newY=  903.1634
particle=  8 | newX=  815.5817 | newY=  903.1866
particle=  9 | newX=  820.4292 | newY=  903.2108
STEP  18 | DAY  380
particle=  0 | newX=  776.6098 | newY=  892.1838
particle=  1 | newX=  781.4481 | newY=  892.2000
particle=  2 | newX=  786.2863 | newY=  892.2173
particle=  3 | newX=  791.1245 | newY=  892.2358
particle=  4 | newX=  795.9625 | newY=  892.2554
particle=  5 | newX=  800.8005 | newY=  892.2761
particle=  6 | newX=  805.6385 | newY=  892.2980
particle=  7 | newX=  810.4764 | newY=  892.3211
particle=  8 | newX=  815.3142 | newY=  892.3454
particle=  9 | newX=  820.1521 | newY=  892.3709
STEP  19 | DAY  400
particle=  0 | newX=  776.4182 | newY=  881.3138
particle=  1 | newX=  781.2468 | newY=  881.3306
particle=  2 | newX=  786.0754 | newY=  881.3486
particle=  3 | newX=  790.9038 | newY=  881.3678
particle=  4 | newX=  795.7322 | newY=  881.3883
particle=  5 | newX=  800.5604 | newY=  881.4099
particle=  6 | newX=  805.3886 | newY=  881.4328
particle=  7 | newX=  810.2167 | newY=  881.4570
particle=  8 | newX=  815.0448 | newY=  881.4824
particle=  9 | newX=  819.8729 | newY=  881.5090
STEP  20 | DAY  420
particle=  0 | newX=  776.2258 | newY=  870.4219
particle=  1 | newX=  781.0446 | newY=  870.4393
particle=  2 | newX=  785.8633 | newY=  870.4580
particle=  3 | newX=  790.6819 | newY=  870.4779
particle=  4 | newX=  795.5004 | newY=  870.4991
particle=  5 | newX=  800.3188 | newY=  870.5217
particle=  6 | newX=  805.1371 | newY=  870.5455
particle=  7 | newX=  809.9554 | newY=  870.5706
particle=  8 | newX=  814.7735 | newY=  870.5971
particle=  9 | newX=  819.5916 | newY=  870.6249
STEP  21 | DAY  440
particle=  0 | newX=  776.0326 | newY=  859.5077
particle=  1 | newX=  780.8415 | newY=  859.5257
particle=  2 | newX=  785.6503 | newY=  859.5450
particle=  3 | newX=  790.4590 | newY=  859.5656
particle=  4 | newX=  795.2675 | newY=  859.5875
particle=  5 | newX=  800.0759 | newY=  859.6109
particle=  6 | newX=  804.8842 | newY=  859.6356
particle=  7 | newX=  809.6923 | newY=  859.6617
particle=  8 | newX=  814.5004 | newY=  859.6892
particle=  9 | newX=  819.3085 | newY=  859.7182
STEP  22 | DAY  460
particle=  0 | newX=  775.8388 | newY=  848.5710
particle=  1 | newX=  780.6377 | newY=  848.5894
particle=  2 | newX=  785.4364 | newY=  848.6092
particle=  3 | newX=  790.2350 | newY=  848.6305
particle=  4 | newX=  795.0334 | newY=  848.6531
particle=  5 | newX=  799.8317 | newY=  848.6772
particle=  6 | newX=  804.6298 | newY=  848.7028
particle=  7 | newX=  809.4278 | newY=  848.7298
particle=  8 | newX=  814.2257 | newY=  848.7583
particle=  9 | newX=  819.0235 | newY=  848.7883
STEP  23 | DAY  480
particle=  0 | newX=  775.6446 | newY=  837.6112
particle=  1 | newX=  780.4333 | newY=  837.6301
particle=  2 | newX=  785.2219 | newY=  837.6504
particle=  3 | newX=  790.0102 | newY=  837.6722
particle=  4 | newX=  794.7984 | newY=  837.6954
particle=  5 | newX=  799.5864 | newY=  837.7202
particle=  6 | newX=  804.3742 | newY=  837.7466
particle=  7 | newX=  809.1619 | newY=  837.7744
particle=  8 | newX=  813.9494 | newY=  837.8038
particle=  9 | newX=  818.7368 | newY=  837.8348
STEP  24 | DAY  500
particle=  0 | newX=  775.4501 | newY=  826.6281
particle=  1 | newX=  780.2285 | newY=  826.6473
